Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Reconcile,Reconcile Date,Rate/Price,Month
11/05/2018,df6c49e889644964a09d72bea1a208ae,,DIRECT LINE INS::ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£1.10,-1.1,c,,1,2018-05
11/05/2018,df6c49e889644964a09d72bea1a208ae,,DIRECT LINE INS::ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Skoda Insurance,Skoda Insurance,£1.10,1.1,n,,1,2018-05
14/05/2018,c4e98ffd394749bfba00c09ea3f11e9b,,Amazon UK Retail::DEFAULT: Garden Shears,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£22.99,-22.99,n,,1,2018-05
14/05/2018,c4e98ffd394749bfba00c09ea3f11e9b,,Amazon UK Retail::DEFAULT: Garden Shears,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£22.99,22.99,c,,1,2018-05
18/05/2018,63236aded30c49b1b2ba1538d677d7da,,Amazon UK Marketpl::DEFAULT: Garden Shears,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£29.99,-29.99,c,,1,2018-05
18/05/2018,63236aded30c49b1b2ba1538d677d7da,,Amazon UK Marketpl::DEFAULT: Garden Shears,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£29.99,29.99,n,,1,2018-05
22/05/2018,2882cba74c864e388278766dce81b384,,DIRECT LINE INS:Skoda Insurance:ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£226.24,-226.24,c,,1,2018-05
22/05/2018,2882cba74c864e388278766dce81b384,,DIRECT LINE INS:Skoda Insurance:ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Skoda Insurance,Skoda Insurance,£226.24,226.24,n,,1,2018-05
24/05/2018,f84dd622b66b4daa9878317c9312a899,,CELEBRATIONS::DEFAULT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£8.51,-8.51,c,,1,2018-05
24/05/2018,f84dd622b66b4daa9878317c9312a899,,CELEBRATIONS::DEFAULT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£8.51,8.51,n,,1,2018-05
24/05/2018,cb9d0289938c4a569a8aab09242c704b,,CHELTENHAM III::DEFAULT: unknown,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£7.00,-7,c,,1,2018-05
24/05/2018,cb9d0289938c4a569a8aab09242c704b,,CHELTENHAM III::DEFAULT: unknown,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£7.00,7,n,,1,2018-05
29/05/2018,d1f5f72ef071405aaa9e17aa17293716,,Amazon Digital Dwn:Music:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£1.98,-1.98,c,,1,2018-05
29/05/2018,d1f5f72ef071405aaa9e17aa17293716,,Amazon Digital Dwn:Music:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£1.98,1.98,n,,1,2018-05
29/05/2018,331c5bb148f2465e99bcf813814e0e5f,,BOOTSCHELTENHAM::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£2.75,-2.75,c,,1,2018-05
29/05/2018,331c5bb148f2465e99bcf813814e0e5f,,BOOTSCHELTENHAM::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£2.75,2.75,n,,1,2018-05
29/05/2018,794bd475695749c1b33d0ac63d0c6994,,BOOTSCHELTENHAM::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£21.49,-21.49,c,,1,2018-05
29/05/2018,794bd475695749c1b33d0ac63d0c6994,,BOOTSCHELTENHAM::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£21.49,21.49,n,,1,2018-05
29/05/2018,ca863deb8cb9431dab78171434d97e32,,COSTA COFFEE::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£3.35,-3.35,c,,1,2018-05
29/05/2018,ca863deb8cb9431dab78171434d97e32,,COSTA COFFEE::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£3.35,3.35,n,,1,2018-05
31/05/2018,694dcf4f984d430784f63bec273017ea,,LNK SPAR CRANBERR::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£30.00,-30,c,,1,2018-05
31/05/2018,694dcf4f984d430784f63bec273017ea,,LNK SPAR CRANBERR::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£30.00,30,n,,1,2018-05
31/05/2018,4f7219aecfa44a25a690943f5e2d9b11,,WWW.ADVENTURETOYS.:Spares for Climbing Frame. Needs refunding.:DEBT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£5.00,-5,n,,1,2018-05
31/05/2018,4f7219aecfa44a25a690943f5e2d9b11,,WWW.ADVENTURETOYS.:Spares for Climbing Frame. Needs refunding.:DEBT,,,,,,Expenses:Other Expenses:DEBT_Closed,DEBT_Closed,£14.99,14.99,n,,1,2018-05
31/05/2018,4f7219aecfa44a25a690943f5e2d9b11,,WWW.ADVENTURETOYS.:Spares for Climbing Frame. Needs refunding.:DEBT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£5.00,5,n,,1,2018-05
31/05/2018,4f7219aecfa44a25a690943f5e2d9b11,,WWW.ADVENTURETOYS.:Spares for Climbing Frame. Needs refunding.:DEBT,,,,,,Assets:Current Account:Debt:Debt Closed 2,Debt Closed 2,-£14.99,-14.99,c,,1,2018-05
04/06/2018,d604eb79794c4b1285e1ba064e7b5658,,BOOTS 2035::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£1.00,-1,c,,1,2018-06
04/06/2018,d604eb79794c4b1285e1ba064e7b5658,,BOOTS 2035::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£1.00,1,n,,1,2018-06
12/06/2018,b84dac404b044895aa943a5d944550ec,,AMAZON SVCS EU-UK:Dental Floss:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£4.45,-4.45,c,,1,2018-06
12/06/2018,b84dac404b044895aa943a5d944550ec,,AMAZON SVCS EU-UK:Dental Floss:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£4.45,4.45,n,,1,2018-06
13/06/2018,c390bb5b7a1348d58dc45f2eb5a6e90b,,Amazon UK Retail::DEFAULT: Unknown,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£8.06,-8.06,c,,1,2018-06
13/06/2018,c390bb5b7a1348d58dc45f2eb5a6e90b,,Amazon UK Retail::DEFAULT: Unknown,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£8.06,8.06,n,,1,2018-06
18/06/2018,948ca2f29f5746f5be762fe216e5bbab,,ACADEMY PORTRAITS::DEFAULT: Georgie School photo,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£14.00,-14,c,,1,2018-06
18/06/2018,948ca2f29f5746f5be762fe216e5bbab,,ACADEMY PORTRAITS::DEFAULT: Georgie School photo,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£14.00,14,n,,1,2018-06
18/06/2018,a10df67a4b9944c89e11efa865ab253a,,THE POST OFFICE::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£3.45,-3.45,c,,1,2018-06
18/06/2018,a10df67a4b9944c89e11efa865ab253a,,THE POST OFFICE::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£3.45,3.45,n,,1,2018-06
19/06/2018,cfb718e184554ee0b33a37cc35d49c2f,,Amazon UK Retail::DEFAULT: Unknown,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£10.30,-10.3,c,,1,2018-06
19/06/2018,cfb718e184554ee0b33a37cc35d49c2f,,Amazon UK Retail::DEFAULT: Unknown,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£10.30,10.3,n,,1,2018-06
20/06/2018,9f94e97d324a4f70aa979a7451a70ce0,,Amazon UK Retail::DEFAULT: Unknown,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£15.64,-15.64,c,,1,2018-06
20/06/2018,9f94e97d324a4f70aa979a7451a70ce0,,Amazon UK Retail::DEFAULT: Unknown,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£15.64,15.64,n,,1,2018-06
22/06/2018,b28a72d25dcc40c5b6dbd9f27404ed0c,,NATIONAL TRUST MEM::DEFAULT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£69.00,-69,c,,1,2018-06
22/06/2018,b28a72d25dcc40c5b6dbd9f27404ed0c,,NATIONAL TRUST MEM::DEFAULT,,,,,,Expenses:Annual Expenses:Subscriptions,Subscriptions,£69.00,69,n,,1,2018-06
25/06/2018,bbf663c90d074d8783469201362c1a6b,,MISS C LI::DEFAULT: Forest School Photo,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£30.00,-30,c,,1,2018-06
